,Result,Category
17151,Black Win,9
17152,Black Win,11
17153,Black Win,8
17154,Black Win,6
17155,Black Win,10
17156,Black Win,9
17157,Black Win,11
17158,White Win,15
17159,White Win,8
17160,White Win,8
17161,Black Win,7
17162,White Win,12
17163,Black Win,8
17164,White Win,14
17165,White Win,13
17166,White Win,14
17167,Black Win,6
17168,Black Win,11
17169,Black Win,8
17170,White Win,10
17171,White Win,9
17172,Black Win,10
17173,White Win,11
17174,White Win,10
17175,White Win,10
17176,White Win,7
17177,Black Win,4
17178,Black Win,5
17179,Black Win,11
17180,White Win,10
17181,White Win,6
17182,White Win,15
17183,Black Win,2
17184,Black Win,10
17185,White Win,3
17186,Black Win,11
17187,Black Win,8
17188,Black Win,9
17189,White Win,8
17190,White Win,15
17191,Black Win,12
17192,Black Win,12
17193,White Win,8
17194,Black Win,5
17195,White Win,13
17196,White Win,8
17197,Black Win,6
17198,White Win,18
17199,White Win,6
17200,Black Win,11
17201,Draw,6
17202,White Win,8
17203,White Win,7
17204,Black Win,11
17205,Black Win,11
17206,White Win,12
17207,Black Win,7
17208,Black Win,4
17209,Black Win,5
17210,White Win,7
17211,White Win,20
17212,White Win,15
17213,Black Win,5
17214,White Win,8
17215,Black Win,8
17216,White Win,13
17217,White Win,13
17218,Black Win,11
17219,Black Win,10
17220,Black Win,4
17221,Black Win,5
17222,Black Win,5
17223,White Win,12
17224,Black Win,5
17225,Black Win,12
17226,White Win,5
17227,White Win,14
17228,White Win,6
17229,White Win,13
17230,Black Win,6
17231,White Win,10
17232,White Win,11
17233,White Win,13
17234,White Win,8
17235,Black Win,5
17236,White Win,8
17237,Black Win,8
17238,White Win,16
17239,Black Win,9
17240,Black Win,4
17241,Black Win,8
17242,White Win,12
17243,White Win,5
17244,White Win,8
17245,White Win,13
17246,Black Win,13
17247,White Win,9
17248,Black Win,9
17249,White Win,14
17250,Black Win,10
17251,Black Win,11
17252,White Win,9
17253,White Win,7
17254,Black Win,7
17255,White Win,7
17256,Black Win,7
17257,White Win,11
17258,White Win,11
17259,Black Win,9
17260,Black Win,12
17261,White Win,9
17262,Black Win,11
17263,White Win,9
17264,White Win,11
17265,White Win,14
17266,Black Win,10
17267,Black Win,10
17268,White Win,8
17269,White Win,5
17270,White Win,10
17271,White Win,18
17272,White Win,9
17273,Black Win,5
17274,Black Win,6
17275,Black Win,6
17276,Black Win,6
17277,Black Win,8
17278,White Win,7
17279,Black Win,9
17280,White Win,10
17281,Black Win,10
17282,White Win,7
17283,White Win,15
17284,White Win,13
17285,White Win,14
17286,Black Win,5
17287,White Win,12
17288,Black Win,11
17289,White Win,12
17290,White Win,16
17291,Draw,10
17292,Black Win,10
17293,Black Win,6
17294,White Win,10
17295,White Win,14
17296,Black Win,11
17297,White Win,11
17298,Black Win,7
17299,Black Win,15
17300,Black Win,5
17301,Black Win,10
17302,Black Win,6
17303,Black Win,10
17304,Black Win,7
17305,Black Win,10
17306,Black Win,10
17307,White Win,11
17308,White Win,9
17309,Black Win,13
17310,Black Win,11
17311,White Win,16
17312,White Win,7
17313,Black Win,8
17314,Black Win,8
17315,Black Win,10
17316,Black Win,7
17317,White Win,14
17318,Black Win,8
17319,White Win,13
17320,Black Win,5
17321,White Win,11
17322,White Win,9
17323,Black Win,10
17324,Black Win,11
17325,Black Win,10
17326,Black Win,14
17327,White Win,8
17328,Black Win,3
17329,White Win,12
17330,Black Win,4
17331,White Win,9
17332,Black Win,9
17333,White Win,7
17334,White Win,16
17335,Black Win,9
17336,White Win,12
17337,Black Win,12
17338,Black Win,4
17339,Black Win,7
17340,White Win,19
17341,White Win,7
17342,Black Win,6
17343,Black Win,9
17344,Draw,7
17345,White Win,13
17346,Black Win,5
17347,White Win,12
17348,White Win,6
17349,White Win,14
17350,Black Win,7
17351,White Win,7
17352,Black Win,5
17353,White Win,12
17354,White Win,6
17355,Black Win,12
17356,White Win,15
17357,White Win,8
17358,White Win,10
17359,Black Win,11
17360,Black Win,9
17361,Black Win,0
17362,White Win,15
17363,Black Win,6
17364,White Win,11
17365,White Win,10
17366,Black Win,7
17367,White Win,14
17368,White Win,14
17369,Black Win,7
17370,White Win,10
17371,Black Win,3
17372,Black Win,6
17373,Black Win,9
17374,White Win,9
17375,White Win,10
17376,White Win,12
17377,White Win,12
17378,White Win,9
17379,White Win,12
17380,Black Win,9
17381,Black Win,8
17382,Black Win,13
17383,White Win,12
17384,Black Win,13
17385,White Win,9
17386,Black Win,0
17387,Black Win,13
17388,Black Win,0
17389,White Win,11
17390,White Win,11
17391,White Win,13
17392,Black Win,9
17393,Black Win,11
17394,Black Win,13
17395,White Win,14
17396,White Win,7
17397,Black Win,5
17398,Black Win,9
17399,White Win,8
17400,White Win,9
17401,Black Win,9
17402,White Win,8
17403,Black Win,6
17404,Black Win,10
17405,Black Win,4
17406,Black Win,5
17407,White Win,9
17408,White Win,13
17409,White Win,6
17410,Black Win,8
17411,Black Win,0
17412,White Win,12
17413,White Win,12
17414,Black Win,8
17415,White Win,13
17416,Black Win,12
17417,White Win,14
17418,White Win,13
17419,White Win,20
17420,White Win,12
17421,Black Win,4
17422,Black Win,8
17423,White Win,8
17424,White Win,10
17425,Black Win,6
17426,White Win,10
17427,Black Win,10
17428,Black Win,10
17429,White Win,6
17430,Black Win,7
17431,Black Win,0
17432,Black Win,14
17433,Black Win,12
17434,White Win,18
17435,Black Win,8
17436,White Win,13
17437,White Win,9
17438,Black Win,6
17439,White Win,6
17440,White Win,12
17441,White Win,16
17442,Black Win,9
17443,Black Win,7
17444,White Win,14
17445,White Win,12
17446,White Win,15
17447,White Win,7
17448,Black Win,11
17449,White Win,7
17450,Black Win,7
17451,White Win,15
17452,White Win,16
17453,White Win,13
17454,Black Win,10
17455,White Win,4
17456,White Win,11
17457,Black Win,8
17458,White Win,13
17459,White Win,10
17460,Black Win,4
17461,Black Win,11
17462,White Win,19
17463,White Win,10
17464,Draw,7
17465,White Win,19
17466,Black Win,9
17467,Black Win,9
17468,Black Win,10
17469,White Win,13
17470,Black Win,9
17471,Black Win,7
17472,White Win,20
17473,White Win,7
17474,White Win,10
17475,White Win,13
17476,Black Win,9
17477,White Win,9
17478,Black Win,3
17479,Black Win,13
17480,White Win,13
17481,Black Win,5
17482,Black Win,11
17483,Black Win,6
17484,Black Win,5
17485,White Win,19
17486,White Win,7
17487,Black Win,6
17488,White Win,14
17489,White Win,11
17490,White Win,12
17491,Black Win,0
17492,Black Win,5
17493,Black Win,9
17494,White Win,5
17495,Black Win,3
17496,Black Win,8
17497,Draw,12
17498,White Win,8
17499,White Win,7
17500,Black Win,15
17501,Black Win,8
17502,White Win,8
17503,White Win,12
17504,White Win,12
17505,Black Win,12
17506,Black Win,6
17507,White Win,12
17508,White Win,9
17509,White Win,9
17510,White Win,12
17511,Black Win,7
17512,Black Win,8
17513,Black Win,8
17514,Black Win,8
17515,Black Win,10
17516,White Win,14
17517,White Win,10
17518,Black Win,2
17519,Black Win,7
17520,White Win,8
17521,White Win,12
17522,White Win,15
17523,Black Win,12
17524,Draw,6
17525,White Win,9
17526,White Win,10
17527,Black Win,9
17528,Black Win,0
17529,White Win,4
17530,White Win,13
17531,Black Win,9
17532,White Win,10
17533,White Win,11
17534,Black Win,9
17535,White Win,12
17536,White Win,7
17537,White Win,11
17538,Black Win,7
17539,Black Win,8
17540,White Win,13
17541,Black Win,12
17542,White Win,12
17543,Black Win,7
17544,Black Win,8
17545,Draw,9
17546,White Win,17
17547,White Win,16
17548,Black Win,7
17549,Black Win,7
17550,White Win,11
17551,Black Win,4
17552,Black Win,13
17553,White Win,11
17554,White Win,8
17555,White Win,11
17556,Black Win,10
17557,White Win,10
17558,White Win,10
17559,Black Win,12
17560,Black Win,8
17561,White Win,9
17562,Black Win,11
17563,White Win,12
17564,White Win,10
17565,Black Win,9
17566,White Win,13
17567,Draw,8
17568,Black Win,12
17569,White Win,10
17570,White Win,12
17571,Black Win,5
17572,Black Win,5
17573,White Win,12
17574,White Win,13
17575,White Win,9
17576,White Win,12
17577,Black Win,7
17578,White Win,9
17579,White Win,7
17580,Black Win,8
17581,Black Win,3
17582,Black Win,12
17583,Black Win,14
17584,Draw,7
17585,Black Win,10
17586,White Win,12
17587,White Win,16
17588,Draw,12
17589,White Win,13
17590,White Win,10
17591,White Win,8
17592,White Win,17
17593,Black Win,7
17594,White Win,10
17595,Black Win,5
17596,Black Win,9
17597,Black Win,11
17598,Black Win,11
17599,Black Win,9
17600,White Win,14
17601,White Win,20
17602,White Win,8
17603,Draw,9
17604,White Win,8
17605,Black Win,7
17606,Black Win,9
17607,Black Win,5
17608,White Win,12
17609,White Win,9
17610,White Win,9
17611,Black Win,10
17612,Black Win,10
17613,White Win,10
17614,White Win,10
17615,Black Win,14
17616,Black Win,11
17617,White Win,7
17618,Black Win,10
17619,Black Win,14
17620,Black Win,10
17621,White Win,9
17622,Black Win,10
17623,White Win,7
17624,White Win,5
17625,White Win,12
17626,Black Win,7
17627,Black Win,16
17628,Black Win,8
17629,White Win,10
17630,Black Win,8
17631,Black Win,11
17632,Black Win,7
17633,White Win,6
17634,Black Win,12
17635,White Win,17
17636,Black Win,11
17637,Black Win,7
17638,White Win,15
17639,White Win,6
17640,Black Win,9
17641,Black Win,9
17642,Black Win,3
17643,White Win,9
17644,Draw,8
17645,White Win,20
17646,Black Win,9
17647,Black Win,9
17648,Black Win,9
17649,Black Win,10
17650,White Win,8
17651,Black Win,9
17652,White Win,11
17653,Draw,11
17654,White Win,10
17655,White Win,9
17656,White Win,14
17657,White Win,8
17658,White Win,14
17659,White Win,15
17660,Black Win,0
17661,Black Win,11
17662,Black Win,2
17663,Black Win,1
17664,Black Win,9
17665,Black Win,7
17666,Black Win,7
17667,Black Win,9
17668,White Win,7
17669,Black Win,10
17670,Black Win,8
17671,Black Win,9
17672,White Win,10
17673,Black Win,8
17674,White Win,11
17675,Black Win,4
17676,White Win,14
17677,White Win,10
17678,White Win,11
17679,White Win,10
17680,White Win,10
17681,White Win,13
17682,Black Win,10
17683,White Win,10
17684,White Win,9
17685,Black Win,9
17686,White Win,9
17687,Black Win,11
17688,White Win,9
17689,Black Win,7
17690,White Win,4
17691,White Win,7
17692,White Win,12
17693,White Win,6
17694,White Win,12
17695,Black Win,10
17696,White Win,12
17697,White Win,11
17698,Black Win,10
17699,Black Win,11
17700,Draw,9
17701,White Win,7
17702,White Win,9
17703,Black Win,5
17704,Black Win,7
17705,Black Win,6
17706,White Win,9
17707,Black Win,14
17708,White Win,17
17709,Black Win,1
17710,White Win,12
17711,Black Win,12
17712,Draw,10
17713,Black Win,10
17714,White Win,9
17715,White Win,11
17716,Black Win,7
17717,Black Win,13
17718,White Win,9
17719,Black Win,8
17720,White Win,8
17721,Black Win,5
17722,Black Win,9
17723,Draw,10
17724,Black Win,9
17725,Black Win,9
17726,Black Win,9
17727,White Win,6
17728,Black Win,13
17729,White Win,10
17730,White Win,12
17731,Black Win,9
17732,Black Win,9
17733,Black Win,8
17734,White Win,10
17735,White Win,10
17736,Black Win,10
17737,White Win,12
17738,White Win,12
17739,White Win,7
17740,Black Win,7
17741,White Win,11
17742,Black Win,2
17743,White Win,9
17744,White Win,18
17745,White Win,13
17746,White Win,10
17747,White Win,17
17748,White Win,6
17749,White Win,11
17750,White Win,9
17751,Black Win,13
17752,Black Win,10
17753,Black Win,10
17754,Black Win,11
17755,White Win,9
17756,White Win,12
17757,White Win,7
17758,Black Win,0
17759,Black Win,10
17760,Black Win,7
17761,White Win,13
17762,Black Win,9
17763,White Win,13
17764,Black Win,7
17765,Black Win,10
17766,Black Win,11
17767,Black Win,10
17768,Black Win,6
17769,White Win,9
17770,Draw,10
17771,White Win,11
17772,White Win,20
17773,White Win,10
17774,Black Win,8
17775,Black Win,7
17776,Black Win,9
17777,White Win,10
17778,Black Win,5
17779,Black Win,7
17780,White Win,10
17781,White Win,15
17782,White Win,8
17783,White Win,11
17784,Black Win,18
17785,Black Win,6
17786,White Win,14
17787,Black Win,12
17788,White Win,16
17789,Black Win,14
17790,White Win,0
17791,Black Win,11
17792,Black Win,6
17793,White Win,12
17794,White Win,11
17795,White Win,12
17796,White Win,12
17797,Black Win,11
17798,Black Win,11
17799,Black Win,9
17800,White Win,15
17801,Black Win,11
17802,White Win,12
17803,Black Win,10
17804,Draw,9
17805,White Win,9
17806,Black Win,7
17807,Black Win,9
17808,Black Win,14
17809,Black Win,10
17810,Black Win,8
17811,Black Win,6
17812,Black Win,11
17813,Black Win,11
17814,Black Win,10
17815,Black Win,8
17816,White Win,8
17817,Black Win,7
17818,White Win,10
17819,White Win,9
17820,White Win,11
17821,Black Win,5
17822,Black Win,10
17823,White Win,17
17824,Black Win,10
17825,White Win,7
17826,Black Win,9
17827,Black Win,6
17828,White Win,12
17829,White Win,14
17830,Black Win,11
17831,White Win,6
17832,White Win,9
17833,White Win,9
17834,Draw,12
17835,White Win,11
17836,Black Win,10
17837,Black Win,7
17838,White Win,13
17839,Black Win,7
17840,White Win,10
17841,Black Win,8
17842,Black Win,10
17843,Black Win,8
17844,White Win,8
17845,Black Win,5
17846,White Win,8
17847,Black Win,9
17848,Black Win,10
17849,White Win,13
17850,Black Win,10
17851,Black Win,10
17852,White Win,10
17853,White Win,11
17854,White Win,12
17855,Black Win,10
17856,Black Win,12
17857,Black Win,7
17858,White Win,20
17859,Black Win,12
17860,White Win,9
17861,White Win,8
17862,White Win,5
17863,White Win,12
17864,Black Win,7
17865,White Win,10
17866,Black Win,9
17867,White Win,10
17868,White Win,9
17869,White Win,12
17870,White Win,10
17871,White Win,9
17872,Draw,7
17873,White Win,10
17874,Black Win,6
17875,White Win,14
17876,White Win,6
17877,White Win,9
17878,White Win,9
17879,White Win,11
17880,Black Win,8
17881,Black Win,7
17882,White Win,11
17883,White Win,8
17884,White Win,13
17885,Black Win,11
17886,White Win,4
17887,Black Win,6
17888,White Win,6
17889,Black Win,8
17890,White Win,9
17891,Draw,12
17892,White Win,10
17893,Black Win,10
17894,White Win,12
17895,White Win,10
17896,Black Win,10
17897,Black Win,8
17898,Black Win,11
17899,Black Win,9
17900,White Win,10
17901,Black Win,7
17902,Black Win,9
17903,Draw,8
17904,White Win,9
17905,White Win,10
17906,White Win,9
17907,Draw,10
17908,White Win,10
17909,Draw,10
17910,Black Win,7
17911,White Win,14
17912,White Win,11
17913,Black Win,8
17914,White Win,11
17915,Black Win,12
17916,Black Win,9
17917,Black Win,10
17918,Black Win,9
17919,White Win,14
17920,White Win,5
17921,White Win,8
17922,Black Win,9
17923,White Win,10
17924,Black Win,9
17925,White Win,10
17926,Black Win,11
17927,White Win,11
17928,Black Win,8
17929,White Win,7
17930,Black Win,8
17931,White Win,12
17932,White Win,7
17933,Black Win,9
17934,White Win,10
17935,White Win,10
17936,White Win,5
17937,Black Win,9
17938,White Win,10
17939,Black Win,0
17940,White Win,9
17941,White Win,12
17942,White Win,8
17943,White Win,12
17944,White Win,14
17945,Black Win,10
17946,Black Win,11
17947,White Win,12
17948,Black Win,6
17949,White Win,6
17950,White Win,8
17951,White Win,8
17952,White Win,8
17953,Black Win,13
17954,White Win,10
17955,White Win,16
17956,Black Win,10
17957,White Win,13
17958,White Win,12
17959,White Win,9
17960,White Win,9
17961,White Win,12
17962,White Win,9
17963,White Win,10
17964,White Win,10
17965,Black Win,5
17966,Black Win,9
17967,Black Win,9
17968,Black Win,7
17969,Black Win,11
17970,White Win,10
17971,White Win,14
17972,White Win,10
17973,Black Win,10
17974,Black Win,10
17975,Black Win,6
17976,Black Win,9
17977,Black Win,7
17978,White Win,7
17979,Black Win,7
17980,Black Win,9
17981,White Win,11
17982,Black Win,7
17983,Black Win,10
17984,White Win,15
17985,White Win,9
17986,White Win,9
17987,White Win,7
17988,Black Win,9
17989,White Win,11
17990,Black Win,13
17991,Black Win,11
17992,White Win,20
17993,White Win,11
17994,White Win,12
17995,Black Win,11
17996,White Win,20
17997,White Win,13
17998,Black Win,11
17999,Black Win,11
18000,White Win,9
18001,White Win,10
18002,Black Win,11
18003,Draw,10
18004,Black Win,10
18005,Black Win,3
18006,Black Win,9
18007,White Win,10
18008,White Win,9
18009,Black Win,11
18010,White Win,9
18011,Black Win,8
18012,White Win,9
18013,White Win,8
18014,White Win,10
18015,White Win,12
18016,Black Win,9
18017,White Win,11
18018,White Win,9
18019,White Win,11
18020,White Win,7
18021,Black Win,8
18022,Black Win,11
18023,Black Win,6
18024,White Win,11
18025,Draw,12
18026,White Win,13
18027,White Win,12
18028,Black Win,7
18029,Draw,9
18030,White Win,10
18031,White Win,10
18032,Black Win,11
18033,White Win,9
18034,Draw,9
18035,White Win,12
18036,White Win,11
18037,Black Win,10
18038,Black Win,6
18039,Black Win,3
18040,Black Win,9
18041,Black Win,9
18042,White Win,11
18043,Black Win,9
18044,White Win,6
18045,Black Win,9
18046,Black Win,11
18047,Black Win,10
18048,White Win,12
18049,White Win,11
18050,Black Win,12
18051,White Win,6
18052,White Win,16
18053,White Win,9
18054,Black Win,10
18055,White Win,9
18056,Black Win,12
18057,Black Win,0
18058,White Win,10
18059,White Win,8
18060,White Win,11
18061,Black Win,11
18062,Black Win,9
18063,White Win,9
18064,Black Win,14
18065,Black Win,7
18066,Black Win,6
18067,Black Win,15
18068,Black Win,10
18069,Black Win,8
18070,White Win,11
18071,White Win,17
18072,Black Win,10
18073,White Win,12
18074,White Win,9
18075,White Win,12
18076,White Win,10
18077,Black Win,9
18078,Black Win,13
18079,Black Win,9
18080,White Win,9
18081,White Win,6
18082,White Win,11
18083,Black Win,10
18084,White Win,10
18085,White Win,8
18086,White Win,11
18087,White Win,8
18088,White Win,9
18089,White Win,10
18090,White Win,9
18091,Black Win,4
18092,Black Win,1
18093,White Win,11
18094,White Win,14
18095,White Win,14
18096,Black Win,11
18097,Black Win,10
18098,White Win,10
18099,White Win,10
18100,White Win,3
18101,Black Win,11
18102,Black Win,11
18103,White Win,17
18104,White Win,10
18105,White Win,9
18106,Black Win,5
18107,Black Win,9
18108,Black Win,0
18109,Black Win,8
18110,Black Win,3
18111,Black Win,6
18112,Black Win,10
18113,White Win,11
18114,White Win,20
18115,Draw,10
18116,Black Win,7
18117,Black Win,18
18118,Draw,11
18119,White Win,6
18120,White Win,4
18121,Black Win,9
18122,Black Win,9
18123,White Win,12
18124,Black Win,7
18125,White Win,11
18126,Black Win,6
18127,White Win,13
18128,White Win,9
18129,Black Win,9
18130,Black Win,8
18131,White Win,16
18132,Black Win,8
18133,Black Win,8
18134,Black Win,9
18135,Black Win,10
18136,Black Win,10
18137,White Win,6
18138,White Win,10
18139,Black Win,5
18140,White Win,20
18141,Black Win,7
18142,Draw,7
18143,White Win,11
18144,White Win,11
18145,White Win,14
18146,White Win,9
18147,Black Win,9
18148,White Win,12
18149,Black Win,11
18150,White Win,14
18151,Black Win,6
18152,Black Win,9
18153,White Win,10
18154,White Win,10
18155,White Win,18
18156,Black Win,4
18157,Black Win,14
18158,Draw,9
18159,Black Win,4
18160,White Win,5
18161,White Win,13
18162,Black Win,8
18163,Black Win,10
18164,Black Win,12
18165,White Win,13
18166,Black Win,11
18167,White Win,12
18168,White Win,10
18169,Black Win,3
18170,Black Win,10
18171,Black Win,3
18172,Black Win,12
18173,White Win,12
18174,Black Win,9
18175,White Win,13
18176,White Win,10
18177,Black Win,6
18178,White Win,9
18179,White Win,9
18180,White Win,11
18181,Black Win,10
18182,Black Win,9
18183,Black Win,4
18184,White Win,9
18185,White Win,8
18186,White Win,13
18187,White Win,12
18188,Black Win,9
18189,Black Win,5
18190,White Win,8
18191,Black Win,12
18192,White Win,5
18193,White Win,10
18194,Black Win,13
18195,Black Win,9
18196,Draw,12
18197,White Win,8
18198,White Win,9
18199,Black Win,9
18200,White Win,11
18201,Draw,11
18202,Black Win,3
18203,Black Win,12
18204,White Win,9
18205,White Win,10
18206,Black Win,10
18207,Draw,10
18208,Black Win,8
18209,Draw,7
18210,White Win,16
18211,Black Win,11
18212,Black Win,15
18213,Black Win,9
18214,White Win,9
18215,Black Win,7
18216,White Win,12
18217,Draw,8
18218,Black Win,7
18219,Black Win,6
18220,Black Win,12
18221,Black Win,11
18222,Black Win,11
18223,White Win,10
18224,Black Win,6
18225,White Win,7
18226,Black Win,11
18227,Black Win,10
18228,White Win,15
18229,Black Win,10
18230,White Win,11
18231,White Win,13
18232,White Win,9
18233,White Win,8
18234,Black Win,9
18235,Black Win,6
18236,Black Win,17
18237,White Win,11
18238,White Win,13
18239,Black Win,9
18240,White Win,11
18241,Draw,7
18242,White Win,7
18243,White Win,4
18244,Black Win,8
18245,Black Win,12
18246,Black Win,9
18247,Black Win,10
18248,White Win,12
18249,White Win,8
18250,Black Win,10
18251,Black Win,11
18252,White Win,14
18253,Black Win,12
18254,White Win,12
18255,Black Win,11
18256,Black Win,10
18257,Black Win,10
18258,Black Win,3
18259,Black Win,11
18260,White Win,16
18261,Draw,13
18262,Black Win,7
18263,Black Win,10
18264,White Win,14
18265,White Win,11
18266,Black Win,4
18267,Black Win,10
18268,White Win,14
18269,Black Win,9
18270,White Win,8
18271,Black Win,9
18272,Black Win,7
18273,Black Win,12
18274,White Win,13
18275,Black Win,13
18276,White Win,10
18277,White Win,10
18278,Black Win,2
18279,Black Win,12
18280,White Win,9
18281,Black Win,4
18282,Black Win,7
18283,Black Win,10
18284,White Win,10
18285,White Win,15
18286,White Win,7
18287,Black Win,7
18288,White Win,14
18289,White Win,10
18290,Draw,5
18291,White Win,10
18292,White Win,12
18293,Black Win,7
18294,Black Win,6
18295,Black Win,9
18296,White Win,13
18297,Black Win,7
18298,Black Win,8
18299,White Win,10
18300,White Win,16
18301,White Win,16
18302,White Win,7
18303,White Win,12
18304,White Win,20
18305,Black Win,10
18306,White Win,6
18307,Black Win,8
18308,White Win,11
18309,Black Win,6
18310,White Win,8
18311,White Win,9
18312,White Win,9
18313,White Win,9
18314,White Win,8
18315,White Win,10
18316,White Win,11
18317,Black Win,0
18318,White Win,9
18319,White Win,11
18320,White Win,15
18321,Black Win,15
18322,Black Win,7
18323,White Win,8
18324,Black Win,11
18325,White Win,3
18326,White Win,9
18327,White Win,11
18328,White Win,14
18329,Black Win,6
18330,Black Win,11
18331,White Win,7
18332,Black Win,9
18333,Black Win,13
18334,Black Win,7
18335,Black Win,7
18336,White Win,9
18337,Black Win,13
18338,Black Win,7
18339,Draw,10
18340,Black Win,10
18341,White Win,13
18342,Black Win,9
18343,White Win,12
18344,Black Win,0
18345,Black Win,8
18346,Draw,14
18347,White Win,11
18348,Black Win,6
18349,Black Win,7
18350,Black Win,9
18351,Black Win,14
18352,White Win,13
18353,Black Win,13
18354,White Win,18
18355,Black Win,5
18356,White Win,13
18357,White Win,11
18358,White Win,8
18359,Black Win,12
18360,White Win,12
18361,Black Win,13
18362,Black Win,11
18363,White Win,10
18364,White Win,7
18365,White Win,8
18366,Black Win,7
18367,Black Win,9
18368,Black Win,13
18369,Black Win,4
18370,Black Win,9
18371,Black Win,6
18372,White Win,15
18373,Black Win,10
18374,Black Win,6
18375,Black Win,8
18376,White Win,4
18377,Black Win,9
18378,White Win,10
18379,Black Win,11
18380,White Win,10
18381,Black Win,6
18382,Black Win,8
18383,White Win,7
18384,Black Win,12
18385,Black Win,9
18386,Black Win,6
18387,Black Win,11
18388,Black Win,8
18389,White Win,7
18390,Black Win,5
18391,White Win,8
18392,White Win,11
18393,Black Win,12
18394,Black Win,12
18395,Black Win,7
18396,White Win,9
18397,Black Win,7
18398,White Win,10
18399,White Win,11
18400,Black Win,11
18401,Black Win,9
18402,White Win,13
18403,Draw,10
18404,Black Win,12
18405,Black Win,7
18406,White Win,8
18407,Black Win,6
18408,Black Win,11
18409,Black Win,13
18410,White Win,6
18411,White Win,6
18412,White Win,13
18413,White Win,8
18414,White Win,5
18415,White Win,7
18416,Black Win,6
18417,Black Win,11
18418,White Win,14
18419,White Win,9
18420,Black Win,10
18421,White Win,10
18422,Black Win,7
18423,Black Win,8
18424,Black Win,10
18425,Black Win,0
18426,White Win,11
18427,White Win,8
18428,White Win,6
18429,Black Win,0
18430,Black Win,8
18431,White Win,7
18432,White Win,9
18433,White Win,10
18434,White Win,7
18435,Black Win,7
18436,Black Win,9
18437,Black Win,9
18438,Black Win,7
18439,White Win,10
18440,White Win,9
18441,Black Win,6
18442,White Win,9
18443,White Win,12
18444,Black Win,10
18445,White Win,12
18446,White Win,10
18447,Black Win,8
18448,White Win,12
18449,Draw,13
18450,Black Win,13
18451,Black Win,11
18452,Draw,8
18453,Black Win,9
18454,Black Win,8
18455,Black Win,15
18456,Black Win,11
18457,White Win,7
18458,Black Win,10
18459,White Win,11
18460,White Win,14
18461,Black Win,9
18462,Black Win,10
18463,Black Win,9
18464,Black Win,12
18465,White Win,6
18466,Black Win,10
18467,Black Win,9
18468,Black Win,0
18469,White Win,10
18470,White Win,3
18471,White Win,12
18472,White Win,13
18473,Black Win,4
18474,White Win,5
18475,Black Win,8
18476,Black Win,5
18477,Black Win,8
18478,White Win,12
18479,White Win,13
18480,Draw,10
18481,White Win,13
18482,Black Win,10
18483,White Win,10
18484,Black Win,8
18485,White Win,12
18486,White Win,16
18487,Black Win,9
18488,Black Win,12
18489,Draw,10
18490,White Win,10
18491,White Win,10
18492,Black Win,9
18493,White Win,10
18494,White Win,12
18495,Black Win,6
18496,Black Win,11
18497,Black Win,10
18498,Black Win,10
18499,Black Win,10
18500,Black Win,9
18501,White Win,15
18502,White Win,5
18503,Black Win,12
18504,White Win,13
18505,Black Win,10
18506,Black Win,6
18507,Black Win,11
18508,Black Win,11
18509,Black Win,11
18510,White Win,15
18511,Black Win,5
18512,Draw,9
18513,White Win,9
18514,White Win,11
18515,Black Win,7
18516,White Win,3
18517,White Win,9
18518,Black Win,8
18519,Black Win,11
18520,White Win,10
18521,Black Win,7
18522,Black Win,10
18523,Black Win,9
18524,Black Win,12
18525,Black Win,8
18526,White Win,11
18527,White Win,10
18528,White Win,5
18529,Black Win,7
18530,White Win,11
18531,Black Win,8
18532,White Win,10
18533,White Win,8
18534,White Win,9
18535,White Win,6
18536,White Win,13
18537,Black Win,9
18538,White Win,10
18539,White Win,9
18540,Black Win,5
18541,Black Win,9
18542,Black Win,8
18543,Black Win,11
18544,Black Win,10
18545,Black Win,10
18546,Black Win,9
18547,White Win,12
18548,Black Win,12
18549,White Win,13
18550,Black Win,5
18551,White Win,15
18552,Black Win,8
18553,Black Win,9
18554,White Win,10
18555,White Win,12
18556,White Win,8
18557,White Win,17
18558,White Win,11
18559,Draw,10
18560,Black Win,9
18561,White Win,7
18562,White Win,11
18563,White Win,11
18564,Black Win,6
18565,Black Win,1
18566,Black Win,6
18567,Black Win,10
18568,Black Win,8
18569,Black Win,8
18570,White Win,8
18571,White Win,9
18572,White Win,12
18573,Black Win,10
18574,White Win,11
18575,Black Win,12
18576,White Win,10
18577,White Win,10
18578,Black Win,9
18579,Black Win,11
18580,White Win,7
18581,White Win,13
18582,Black Win,9
18583,Black Win,5
18584,White Win,10
18585,White Win,11
18586,Draw,20
18587,Black Win,2
18588,Black Win,10
18589,White Win,10
18590,White Win,6
18591,White Win,11
18592,Black Win,9
18593,Black Win,10
18594,White Win,12
18595,Black Win,5
18596,Black Win,8
18597,Black Win,6
18598,Draw,10
18599,White Win,13
18600,Black Win,10
18601,White Win,8
18602,White Win,15
18603,Black Win,10
18604,Black Win,12
18605,White Win,6
18606,Black Win,10
18607,White Win,9
18608,Black Win,2
18609,Draw,11
18610,White Win,10
18611,White Win,14
18612,Black Win,10
18613,Draw,10
18614,Draw,13
18615,Black Win,4
18616,Black Win,7
18617,Black Win,10
18618,White Win,11
18619,White Win,10
18620,Black Win,5
18621,Black Win,8
18622,Black Win,6
18623,Black Win,9
18624,Black Win,13
18625,Black Win,10
