,Result,Category
376,Black Win,13
377,Black Win,9
378,White Win,11
379,White Win,13
380,Black Win,9
381,White Win,9
382,Black Win,9
383,Black Win,5
384,Black Win,8
385,White Win,6
386,White Win,10
387,Black Win,4
388,Black Win,11
389,Black Win,12
390,Black Win,5
391,Black Win,10
392,White Win,10
393,White Win,7
394,Draw,11
395,White Win,7
396,Black Win,7
397,Black Win,10
398,White Win,7
399,White Win,20
400,White Win,7
401,Black Win,0
402,Black Win,8
403,White Win,8
404,White Win,8
405,White Win,8
406,Black Win,0
407,White Win,8
408,White Win,13
409,White Win,11
410,White Win,12
411,White Win,15
412,White Win,11
413,Black Win,9
414,White Win,8
415,White Win,11
416,White Win,6
417,Black Win,10
418,Black Win,3
419,White Win,13
420,Black Win,7
421,Black Win,7
422,White Win,14
423,Black Win,15
424,Black Win,9
425,Black Win,3
426,White Win,11
427,Black Win,7
428,White Win,10
429,White Win,12
430,Black Win,4
431,White Win,10
432,Black Win,9
433,Black Win,10
434,White Win,18
435,White Win,6
436,Black Win,9
437,White Win,11
438,Black Win,9
439,White Win,14
440,Draw,12
441,White Win,15
442,White Win,11
443,Black Win,11
444,Black Win,10
445,White Win,10
446,White Win,9
447,Black Win,0
448,White Win,7
449,White Win,10
450,White Win,9
451,Black Win,16
452,White Win,10
453,Black Win,9
454,White Win,11
455,Black Win,13
456,White Win,15
457,White Win,13
458,Black Win,9
459,White Win,14
460,White Win,8
461,Black Win,0
462,Black Win,12
463,Black Win,12
464,Black Win,8
465,Black Win,8
466,White Win,9
467,Black Win,9
468,White Win,3
469,White Win,12
470,Black Win,8
471,White Win,9
472,Black Win,4
473,Black Win,9
474,Black Win,10
475,Black Win,9
476,Black Win,6
477,Black Win,8
478,White Win,10
479,Black Win,13
480,White Win,9
481,Black Win,10
482,Black Win,4
483,Black Win,5
484,White Win,17
485,Black Win,0
486,Black Win,6
487,Black Win,5
488,Black Win,13
489,Black Win,6
490,Black Win,16
491,White Win,9
492,White Win,8
493,Black Win,9
494,Black Win,11
495,Draw,17
496,Black Win,7
497,Black Win,16
498,Black Win,10
499,Black Win,6
500,White Win,5
501,Black Win,6
502,Black Win,7
503,White Win,11
504,White Win,14
505,Black Win,7
506,Black Win,11
507,Black Win,6
508,Black Win,11
509,White Win,12
510,White Win,10
511,White Win,9
512,White Win,10
513,Black Win,10
514,White Win,8
515,Black Win,14
516,White Win,10
517,Black Win,15
518,White Win,13
519,White Win,14
520,White Win,11
521,Black Win,15
522,White Win,16
523,White Win,9
524,White Win,11
525,White Win,10
526,Black Win,9
527,White Win,1
528,White Win,9
529,White Win,10
530,White Win,10
531,Black Win,2
532,Black Win,10
533,White Win,11
534,White Win,11
535,Black Win,8
536,White Win,10
537,White Win,11
538,Black Win,5
539,White Win,8
540,White Win,11
541,Black Win,8
542,White Win,9
543,White Win,14
544,White Win,12
545,White Win,16
546,White Win,8
547,White Win,8
548,White Win,9
549,Black Win,10
550,Black Win,9
551,White Win,8
552,Black Win,10
553,Black Win,13
554,Black Win,10
555,White Win,8
556,Black Win,7
557,Black Win,8
558,Black Win,9
559,Black Win,7
560,White Win,9
561,Black Win,8
562,White Win,9
563,White Win,16
564,Black Win,4
565,Black Win,14
566,Black Win,11
567,White Win,16
568,Black Win,6
569,White Win,7
570,White Win,8
571,White Win,10
572,White Win,11
573,White Win,11
574,Black Win,3
575,Black Win,10
576,Black Win,6
577,Black Win,11
578,Black Win,7
579,White Win,9
580,White Win,10
581,White Win,11
582,White Win,10
583,White Win,9
584,White Win,11
585,Black Win,9
586,White Win,10
587,White Win,8
588,Black Win,7
589,Black Win,8
590,Black Win,11
591,White Win,18
592,Black Win,9
593,White Win,4
594,Black Win,11
595,White Win,11
596,Black Win,7
597,Black Win,1
598,Draw,8
599,White Win,8
600,Black Win,12
601,Black Win,11
602,Black Win,16
603,Black Win,9
604,White Win,12
605,White Win,10
606,White Win,9
607,Draw,7
608,Black Win,10
609,Black Win,4
610,White Win,7
611,Black Win,11
612,Black Win,3
613,White Win,12
614,Black Win,7
615,White Win,12
616,Black Win,9
617,Black Win,11
618,White Win,11
619,Draw,2
620,White Win,4
621,White Win,18
622,Draw,17
623,Black Win,2
624,White Win,10
625,White Win,8
626,Black Win,8
627,White Win,6
628,White Win,12
629,Black Win,8
630,White Win,8
631,White Win,20
632,White Win,10
633,White Win,10
634,Black Win,8
635,Black Win,0
636,Black Win,10
637,Black Win,15
638,Black Win,0
639,Black Win,9
640,White Win,6
641,White Win,19
642,White Win,14
643,White Win,12
644,Black Win,11
645,Black Win,9
646,Black Win,7
647,Black Win,7
648,White Win,12
649,White Win,4
650,White Win,11
651,White Win,8
652,Black Win,9
653,White Win,11
654,Draw,7
655,Black Win,12
656,White Win,10
657,White Win,8
658,Black Win,11
659,White Win,9
660,White Win,10
661,White Win,11
662,White Win,12
663,White Win,8
664,White Win,8
665,Black Win,16
666,Draw,8
667,White Win,11
668,Black Win,9
669,White Win,11
670,Black Win,8
671,Black Win,15
672,Black Win,8
673,Draw,8
674,White Win,6
675,White Win,10
676,White Win,3
677,White Win,10
678,Black Win,6
679,Black Win,1
680,Black Win,0
681,White Win,13
682,Black Win,8
683,Black Win,1
684,White Win,6
685,Black Win,11
686,White Win,9
687,White Win,5
688,White Win,13
689,Black Win,12
690,Black Win,16
691,Black Win,8
692,White Win,15
693,White Win,7
694,White Win,13
695,Black Win,12
696,White Win,8
697,Black Win,5
698,White Win,11
699,White Win,7
700,White Win,8
701,Black Win,9
702,Black Win,10
703,White Win,12
704,Draw,18
705,White Win,11
706,White Win,8
707,Draw,9
708,White Win,14
709,Black Win,8
710,White Win,15
711,Black Win,0
712,White Win,10
713,White Win,17
714,Black Win,10
715,Black Win,10
716,Black Win,6
717,Black Win,10
718,White Win,10
719,Black Win,5
720,Black Win,10
721,White Win,10
722,White Win,13
723,Black Win,10
724,Black Win,3
725,White Win,11
726,White Win,1
727,White Win,13
728,Black Win,7
729,Black Win,8
730,White Win,15
731,White Win,13
732,White Win,6
733,Black Win,9
734,Draw,11
735,White Win,11
736,White Win,3
737,White Win,3
738,Black Win,10
739,Black Win,4
740,Draw,12
741,White Win,10
742,Black Win,7
743,Black Win,10
744,White Win,13
745,Black Win,11
746,Black Win,4
747,White Win,6
748,Black Win,9
749,Draw,6
750,Black Win,11
751,White Win,0
752,Black Win,10
753,Black Win,8
754,Black Win,8
755,Black Win,6
756,Black Win,4
757,White Win,9
758,Black Win,7
759,Black Win,5
760,White Win,10
761,White Win,8
762,Black Win,11
763,White Win,20
764,White Win,20
765,Black Win,2
766,Black Win,11
767,Black Win,9
768,White Win,15
769,White Win,18
770,White Win,15
771,White Win,8
772,White Win,12
773,White Win,7
774,White Win,10
775,Black Win,7
776,White Win,11
777,Black Win,12
778,White Win,9
779,White Win,10
780,White Win,7
781,White Win,11
782,Black Win,11
783,Black Win,9
784,Black Win,5
785,White Win,11
786,White Win,16
787,White Win,12
788,Black Win,7
789,White Win,12
790,White Win,13
791,White Win,4
792,White Win,9
793,White Win,11
794,White Win,9
795,Black Win,9
796,Black Win,0
797,White Win,12
798,White Win,11
